feature,mean,std,min,max
PREV_AMOUNT_VOLATILITY,26344.759163220722,1731.1337900065378,25081.481777191162,28318.009530067444
NAME_FAMILY_STATUS,25942.595842997234,6245.698920497949,19856.77117729187,32336.748037338257
CREDIT_INCOME_PERCENT,25938.779059092205,4906.017833218621,20276.842992782593,28930.59163093567
RECENT_AMT_CREDIT_SUM_mean,25674.38556925456,2578.4094940554196,23008.311082839966,28155.129501342773
NUM_INSTALMENT_NUMBER_max,25608.797020276386,2515.540439286648,23816.11105155945,28484.445808410645
BUREAU_TO_PREV_RATIO,25578.681054115295,4174.083371365446,20784.754066467285,28407.69780731201
DOCUMENT_COUNT,25439.644008636475,4655.630933639028,20956.890644073486,30250.76602745056
BUREAU_DEBT_CREDIT_RATIO,25157.912791252136,3982.0097178079204,21508.1743183136,29404.756057739258
RECENT_PAY_LATE_PAYMENT_mean,24962.703752040863,1841.848519347708,23331.448246002197,26960.13524246216
PAYMENT_DIFF_mean,24749.67373784383,6006.096962560884,18904.125505447388,30904.378410339355
AMT_CREDIT_mean,24617.551849047344,2981.293313832267,21190.435340881348,26612.649003982544
CNT_PAYMENT_sum,24358.853925069172,1376.1470946520308,23397.12403869629,25935.203941345215
INST_COUNT,23661.82092666626,3939.1293769994268,19176.47941017151,26558.72700881958
CNT_PAYMENT_max,23617.85992558797,8300.995610210839,16080.437973022461,32514.629096984863
EXT_SOURCE_3_SQUARED,23567.424501736958,4030.0320260308717,18952.529886245728,26392.77034854889
BUREAU_ACTIVE_LOANS,23211.357058842976,2953.4825939938555,20881.04286956787,26532.96639442444
AMT_CREDIT_sum,21746.11836687724,2773.2084073129827,18834.901000976562,24356.843908309937
AMT_INCOME_TOTAL,21628.476187149685,3019.3340013132433,18192.208387374878,23856.92912220955
AMT_CREDIT_SUM_DEBT_max,21546.0800075531,2617.354473297409,19372.815937042236,24451.567974090576
AMT_CREDIT_SUM_DEBT_mean,21445.951683680218,1107.3886290872088,20178.72121810913,22227.56957244873
AMT_CREDIT_max,21267.086030960083,2689.375704040777,18601.886783599854,23980.003156661987
BUREAU_ACTIVE_RATIO,21090.879631996155,5755.275988583961,14447.921220779419,24575.23721218109
CNT_INSTALMENT_FUTURE_sum,21031.814647038776,3816.3408503252376,18128.05050086975,25354.336513519287
PREV_APPROVAL_RATE,20638.95096842448,2858.4856369364234,17817.023191452026,23532.643035888672
NAME_INCOME_TYPE,20626.547827402752,2326.680403913778,17945.23588371277,22113.376291275024
PAYMENT_DIFF_sum,20430.209853490192,1993.142320890265,18137.92615890503,21754.376724243164
EXT_SOURCE_2_SQUARED,20203.257857004803,4889.4026289818385,15245.846803665161,25021.68875312805
AMT_APPLICATION_max,20148.57709503174,2513.6224533984464,17373.55837249756,22272.802925109863
INST_PAYMENT_RATIO,19267.79843870799,867.7338535373663,18273.39600753784,19871.465114593506
HOUR_APPR_PROCESS_START,19069.498752911884,2444.9695841190623,17390.624111175537,21874.619471549988
AMT_CREDIT_SUM_DEBT_sum,18852.153081258137,2935.445325120719,15654.538898468018,21424.760414123535
PAYMENT_DELAY_STD,18184.639945030212,2985.095371929549,14763.74439048767,20261.010642051697
RECENT_TO_OLD_CREDIT_RATIO,18139.058466593426,3106.879107659181,15100.062211990356,21309.639303207397
AMT_CREDIT_min,18124.554151535034,3798.021349513351,13807.106163024902,20950.135192871094
UNDERPAYMENT_mean,18108.44958941142,2829.8937066179496,14937.208923339844,20376.508834838867
BUREAU_STATUS_0_RATIO,17624.331904093426,1625.043411091685,15748.691320419312,18609.537727355957
RECENT_CREDIT_COUNT,17450.532591501873,1985.4597658641048,15290.46148109436,19195.865133285522
CONSECUTIVE_GOOD_MONTHS,17171.851215998333,1833.0363693318511,15548.261610031128,19159.65193939209
FLAG_OWN_CAR,16988.28412946065,1566.3224675739998,15190.637197494507,18059.488578796387
FLAG_DOCUMENT_3,16720.17775440216,6288.26536084039,11761.921049118042,23793.22045993805
AMT_APPLICATION_min,16712.624207814533,4236.2374497260535,12086.931137084961,20403.12470626831
RECENT_PAY_NUM_INSTALMENT_NUMBER_count,16615.65433057149,1382.36446119343,15445.19933128357,18140.806201934814
