lgb_w,xgb_w,cat_w,auc
0.7000000000000001,0.0,0.30000000000000004,0.7925406928824106
0.45,0.35000000000000003,0.2,0.792536767083543
0.5,0.2,0.30000000000000004,0.7925239215276553
0.45,0.30000000000000004,0.25,0.7925213068458615
0.45,0.4,0.15000000000000002,0.792520439750177
0.55,0.45,0.0,0.7925056596518056
0.5,0.45,0.05,0.7925012070406545
0.45,0.25,0.30000000000000004,0.7924747170893709
0.45,0.45,0.1,0.7924724733278838
0.6000000000000001,0.05,0.35000000000000003,0.7924545533029046
0.55,0.1,0.35000000000000003,0.7924540230706874
0.4,0.4,0.2,0.7924464946566849
0.4,0.35000000000000003,0.25,0.7924429600127318
0.65,0.0,0.35000000000000003,0.7924369598815915
0.5,0.15000000000000002,0.35000000000000003,0.7924344214358193
0.4,0.45,0.15000000000000002,0.7924185062044615
0.4,0.30000000000000004,0.30000000000000004,0.7924088247997116
0.5,0.5,0.0,0.7924050121436501
0.45,0.2,0.35000000000000003,0.7923967279243049
0.45,0.5,0.05,0.7923941813561902
0.4,0.5,0.1,0.7923593568840368
0.35000000000000003,0.4,0.25,0.7923472645685417
0.4,0.25,0.35000000000000003,0.7923417004789454
0.35000000000000003,0.45,0.2,0.7923385985990996
0.35000000000000003,0.35000000000000003,0.30000000000000004,0.7923240651634449
0.55,0.05,0.4,0.7923199871775286
0.5,0.1,0.4,0.7923127584352148
0.6000000000000001,0.0,0.4,0.7923074744951856
0.35000000000000003,0.5,0.15000000000000002,0.7922989002939639
0.45,0.15000000000000002,0.4,0.7922869574580698
0.45,0.55,0.0,0.7922861942428708
0.4,0.55,0.05,0.7922699595327085
0.35000000000000003,0.30000000000000004,0.35000000000000003,0.7922696974802905
0.4,0.2,0.4,0.7922440964267685
0.30000000000000004,0.45,0.25,0.7922334942048761
0.35000000000000003,0.55,0.1,0.792228765149086
0.30000000000000004,0.4,0.30000000000000004,0.792222575354124
0.30000000000000004,0.5,0.2,0.7922138350011246
0.35000000000000003,0.25,0.4,0.7921829007035295
0.30000000000000004,0.35000000000000003,0.35000000000000003,0.7921798947243242
0.30000000000000004,0.55,0.15000000000000002,0.7921621640781722
0.5,0.05,0.45,0.7921569027952038
0.55,0.0,0.45,0.7921512603321272
0.4,0.6000000000000001,0.0,0.7921503426499239
0.45,0.1,0.45,0.792144719851466
0.35000000000000003,0.6000000000000001,0.05,0.7921278899303466
0.4,0.15000000000000002,0.45,0.7921136420591538
0.30000000000000004,0.30000000000000004,0.4,0.7921047872808733
0.25,0.45,0.30000000000000004,0.7921024930753646
0.25,0.5,0.25,0.7921016115874592
0.30000000000000004,0.6000000000000001,0.1,0.7920801422413115
0.25,0.4,0.35000000000000003,0.7920709887888233
0.25,0.55,0.2,0.7920705997713674
0.35000000000000003,0.2,0.45,0.7920639223508616
0.25,0.35000000000000003,0.4,0.7920085184278033
0.25,0.6000000000000001,0.15000000000000002,0.7920066122422695
0.30000000000000004,0.25,0.45,0.7919974728970078
0.35000000000000003,0.65,0.0,0.7919962873199995
0.5,0.0,0.5,0.7919688034504908
0.45,0.05,0.5,0.7919684822617195
0.30000000000000004,0.65,0.05,0.7919676623326204
0.2,0.5,0.30000000000000004,0.791964666613216
0.2,0.55,0.25,0.791952952770381
0.4,0.1,0.5,0.7919502380555272
0.2,0.45,0.35000000000000003,0.7919450588509669
0.25,0.65,0.1,0.7919137784275841
0.25,0.30000000000000004,0.45,0.7919134880182161
0.35000000000000003,0.15000000000000002,0.5,0.791913159704583
0.2,0.6000000000000001,0.2,0.7919093724130295
0.2,0.4,0.4,0.7918937753780008
0.30000000000000004,0.2,0.5,0.7918576120018126
0.2,0.65,0.15000000000000002,0.7918351386201361
0.30000000000000004,0.7000000000000001,0.0,0.7918246713431267
0.2,0.35000000000000003,0.45,0.7918112526633535
0.15000000000000002,0.55,0.30000000000000004,0.7918090359763414
0.15000000000000002,0.5,0.35000000000000003,0.7918013305807713
0.25,0.7000000000000001,0.05,0.7917898923275919
0.15000000000000002,0.6000000000000001,0.25,0.7917851116878022
0.25,0.25,0.5,0.7917846424444022
0.15000000000000002,0.45,0.4,0.7917617381510823
0.45,0.0,0.55,0.7917604063719093
0.4,0.05,0.55,0.7917539298725073
0.15000000000000002,0.65,0.2,0.7917306841558086
0.2,0.7000000000000001,0.1,0.7917302261696902
0.35000000000000003,0.1,0.55,0.7917292999376526
0.2,0.30000000000000004,0.5,0.7916951714220025
0.15000000000000002,0.4,0.45,0.7916904634558034
